2026-05-21 15:02:19,231 | INFO | Total rows so far: 500
2026-05-21 15:02:22,283 | INFO | Page 6
2026-05-21 15:02:26,469 | INFO | Total rows so far: 600
2026-05-21 15:02:29,528 | INFO | Page 7
2026-05-21 15:02:33,799 | INFO | Total rows so far: 700
2026-05-21 15:02:36,847 | INFO | Page 8
2026-05-21 15:02:40,730 | INFO | Total rows so far: 800
2026-05-21 15:02:43,768 | INFO | Page 9
2026-05-21 15:02:52,952 | INFO | Total rows so far: 900
2026-05-21 15:02:56,056 | INFO | Page 10
2026-05-21 15:03:05,146 | INFO | Total rows so far: 1000
2026-05-21 15:03:08,253 | INFO | Page 11
2026-05-21 15:03:14,549 | INFO | Total rows so far: 1065
2026-05-21 15:03:14,573 | INFO | Last page reached
2026-05-21 15:03:14,616 | INFO | Saved 1065 rows
2026-05-21 15:03:14,616 | INFO | Saved file at: C:\Users\addys\OneDrive\Desktop\Sports\Linkedin\data\Cbse_scraper\output\cbse_schools_data_{region_name}.csv
2026-05-21 18:02:32,145 | INFO | Starting REGION WISE scrape
2026-05-21 18:02:35,176 | INFO | Clicked Region Wise radio
2026-05-21 18:02:43,751 | INFO | Selected region: Vijaywada
2026-05-21 18:02:45,918 | INFO | Search clicked successfully
2026-05-21 18:02:50,919 | INFO | Setting entries per page to 100
2026-05-21 18:02:54,000 | INFO | Page 1
2026-05-21 18:02:57,864 | INFO | Total rows so far: 100
2026-05-21 18:03:00,927 | INFO | Page 2
2026-05-21 18:03:04,751 | INFO | Total rows so far: 200
2026-05-21 18:03:07,817 | INFO | Page 3
2026-05-21 18:03:11,498 | INFO | Total rows so far: 300
2026-05-21 18:03:14,558 | INFO | Page 4
2026-05-21 18:03:18,468 | INFO | Total rows so far: 400
2026-05-21 18:03:21,533 | INFO | Page 5
2026-05-21 18:03:25,480 | INFO | Total rows so far: 500
2026-05-21 18:03:28,544 | INFO | Page 6
2026-05-21 18:03:32,481 | INFO | Total rows so far: 600
2026-05-21 18:03:35,545 | INFO | Page 7
2026-05-21 18:03:39,609 | INFO | Total rows so far: 700
2026-05-21 18:03:42,671 | INFO | Page 8
2026-05-21 18:03:46,702 | INFO | Total rows so far: 800
2026-05-21 18:03:49,767 | INFO | Page 9
2026-05-21 18:03:53,777 | INFO | Total rows so far: 900
2026-05-21 18:03:56,839 | INFO | Page 10
2026-05-21 18:04:00,753 | INFO | Total rows so far: 1000
2026-05-21 18:04:03,836 | INFO | Page 11
2026-05-21 18:04:07,796 | INFO | Total rows so far: 1100
2026-05-21 18:04:10,872 | INFO | Page 12
2026-05-21 18:04:14,802 | INFO | Total rows so far: 1200
2026-05-21 18:04:17,881 | INFO | Page 13
2026-05-21 18:04:21,795 | INFO | Total rows so far: 1300
2026-05-21 18:04:24,862 | INFO | Page 14
2026-05-21 18:04:28,832 | INFO | Total rows so far: 1400
2026-05-21 18:04:31,896 | INFO | Page 15
2026-05-21 18:04:35,779 | INFO | Total rows so far: 1500
2026-05-21 18:04:38,844 | INFO | Page 16
2026-05-21 18:04:42,784 | INFO | Total rows so far: 1600
2026-05-21 18:04:45,852 | INFO | Page 17
2026-05-21 18:04:49,806 | INFO | Total rows so far: 1700
2026-05-21 18:04:52,871 | INFO | Page 18
2026-05-21 18:04:56,904 | INFO | Total rows so far: 1800
2026-05-21 18:04:59,968 | INFO | Page 19
